GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Chance_of_Admit_Y_N
337,118,4,4.5,4.5,9.65,1,0.92,TRUE
308,101,2,3,4,7.9,0,0.68,TRUE
314,103,2,2,3,8.21,0,0.65,TRUE
316,104,3,3,3.5,8,1,0.72,TRUE
302,102,1,2,1.5,8,0,0.5,TRUE
322,110,3,3.5,2.5,8.67,1,0.8,TRUE
324,107,4,4,4.5,8.87,1,0.76,TRUE
330,115,5,4.5,3,9.34,1,0.9,TRUE
321,109,3,3,4,8.2,1,0.75,TRUE
323,108,3,3.5,3,8.6,0,0.45,FALSE
325,106,3,3.5,4,8.4,1,0.52,TRUE
327,111,4,4,4.5,9,1,0.84,TRUE
328,112,4,4,4.5,9.1,1,0.78,TRUE
307,109,3,4,3,8,1,0.62,TRUE
311,104,3,3.5,2,8.2,1,0.61,TRUE
314,105,3,3.5,2.5,8.3,0,0.54,TRUE
317,107,3,4,3,8.7,0,0.66,TRUE
319,106,3,4,3,8,1,0.65,TRUE
318,110,3,4,3,8.8,0,0.63,TRUE
303,102,3,3.5,3,8.5,0,0.62,TRUE
312,107,3,3,2,7.9,1,0.64,TRUE
325,114,4,3,2,8.4,0,0.7,TRUE
328,116,5,5,5,9.5,1,0.94,TRUE
334,119,5,5,4.5,9.7,1,0.95,TRUE
336,119,5,4,3.5,9.8,1,0.97,TRUE
340,120,5,4.5,4.5,9.6,1,0.94,TRUE
322,109,5,4.5,3.5,8.8,0,0.76,TRUE
298,98,2,1.5,2.5,7.5,1,0.44,FALSE
295,93,1,2,2,7.2,0,0.46,FALSE
310,99,2,1.5,2,7.3,0,0.54,TRUE
300,97,2,3,3,8.1,1,0.65,TRUE
327,103,3,4,4,8.3,1,0.74,TRUE
338,118,4,3,4.5,9.4,1,0.91,TRUE
340,114,5,4,4,9.6,1,0.9,TRUE
331,112,5,4,5,9.8,1,0.94,TRUE
320,110,5,5,5,9.2,1,0.88,TRUE
299,106,2,4,4,8.4,0,0.64,TRUE
300,105,1,1,2,7.8,0,0.58,TRUE
304,105,1,3,1.5,7.5,0,0.52,TRUE
307,108,2,4,3.5,7.7,0,0.48,FALSE
308,110,3,3.5,3,8,1,0.46,FALSE
316,105,2,2.5,2.5,8.2,1,0.49,FALSE
313,107,2,2.5,2,8.5,1,0.53,TRUE
332,117,4,4.5,4,9.1,0,0.87,TRUE
326,113,5,4.5,4,9.4,1,0.91,TRUE
322,110,5,5,4,9.1,1,0.88,TRUE
329,114,5,4,5,9.3,1,0.86,TRUE
339,119,5,4.5,4,9.7,0,0.89,TRUE
321,110,3,3.5,5,8.85,1,0.82,TRUE
327,111,4,3,4,8.4,1,0.78,TRUE
313,98,3,2.5,4.5,8.3,1,0.76,TRUE
Medium,Medium,2,1.5,3.5,Low,1,0.56,TRUE
High,High,4,4,3,Medium,1,0.78,TRUE
Medium,High,4,4,2.5,Medium,1,0.72,TRUE
Medium,Medium,3,3,3.5,Medium,0,0.7,TRUE
Medium,Medium,3,3,3,Low,0,0.64,TRUE
Medium,Medium,3,2,3,Low,0,0.64,TRUE
Low,Low,2,4,2,Low,0,0.46,FALSE
Low,Low,1,3,2,Low,1,0.36,FALSE
Medium,Medium,2,2,2,Medium,0,0.42,FALSE
Low,Medium,2,3,3,Medium,0,0.48,FALSE
Low,Medium,3,4,3,Medium,0,0.47,FALSE
Low,Medium,2,3,3,Medium,1,0.54,TRUE
Medium,Medium,2,4,3,Medium,1,0.56,TRUE
High,High,3,3,3.5,Medium,0,0.52,TRUE
High,High,4,3.5,3.5,Medium,0,0.55,TRUE
High,High,3,3,3,High,0,0.61,TRUE
Medium,High,2,3.5,3.5,Medium,1,0.57,TRUE
Medium,High,3,3.5,4,High,1,0.68,TRUE
High,High,4,4.5,4,High,1,0.78,TRUE
High,High,5,5,5,High,1,0.94,TRUE
High,High,5,5,5,High,1,0.96,TRUE
Medium,High,5,5,5,High,1,0.93,TRUE
Medium,Medium,4,4.5,4,High,1,0.84,TRUE
Medium,Medium,3,3,5,Medium,0,0.74,TRUE
High,Medium,2,2,4,Medium,1,0.72,TRUE
High,Medium,3,3,3,Medium,1,0.74,TRUE
Low,Low,2,3,2,Medium,0,0.64,TRUE
Low,Low,2,3,2,Low,1,0.44,FALSE
Low,Low,1,1.5,2,Low,0,0.46,FALSE
Medium,Medium,3,2,3,Medium,1,0.5,TRUE
340,120,4,5,5,9.5,1,0.96,TRUE
320,110,5,5,4.5,9.22,1,0.92,TRUE
322,115,5,4,4.5,9.36,1,0.92,TRUE
340,115,5,4.5,4.5,9.45,1,0.94,TRUE
319,103,4,4.5,3.5,8.66,0,0.76,TRUE
315,106,3,4.5,3.5,8.42,0,0.72,TRUE
317,107,2,3.5,3,8.28,0,0.66,TRUE
314,108,3,4.5,3.5,8.14,0,0.64,TRUE
316,109,4,4.5,3.5,8.76,1,0.74,TRUE
318,106,2,4,4,7.92,1,0.64,TRUE
299,97,3,5,3.5,7.66,0,0.38,FALSE
298,98,2,4,3,8.03,0,0.34,FALSE
301,97,2,3,3,7.88,1,0.44,FALSE
303,99,3,2,2.5,7.66,0,0.36,FALSE
304,100,4,1.5,2.5,7.84,0,0.42,FALSE
306,100,2,3,3,8,0,0.48,FALSE
331,120,3,4,4,8.96,1,0.86,TRUE
332,119,4,5,4.5,9.24,1,0.9,TRUE
323,113,3,4,4,8.88,1,0.79,TRUE
322,107,3,3.5,3.5,8.46,1,0.71,TRUE
312,105,2,2.5,3,8.12,0,0.64,TRUE
314,106,2,4,3.5,8.25,0,0.62,TRUE
317,104,2,4.5,4,8.47,0,0.57,TRUE
326,112,3,3.5,3,9.05,1,0.74,TRUE
316,110,3,4,4.5,8.78,1,0.69,TRUE
329,111,4,4.5,4.5,9.18,1,0.87,TRUE
338,117,4,3.5,4.5,9.46,1,0.91,TRUE
331,116,5,5,5,9.38,1,0.93,TRUE
304,103,5,5,4,8.64,0,0.68,TRUE
305,108,5,3,3,8.48,0,0.61,TRUE
321,109,4,4,4,8.68,1,0.69,TRUE
301,107,3,3.5,3.5,8.34,1,0.62,TRUE
320,110,2,4,3.5,8.56,0,0.72,TRUE
311,105,3,3.5,3,8.45,1,0.59,TRUE
310,106,4,4.5,4.5,9.04,1,0.66,TRUE
299,102,3,4,3.5,8.62,0,0.56,TRUE
290,104,4,2,2.5,7.46,0,0.45,FALSE
296,99,2,3,3.5,7.28,0,0.47,FALSE
327,104,5,3,3.5,8.84,1,0.71,TRUE
335,117,5,5,5,9.56,1,0.94,TRUE
334,119,5,4.5,4.5,9.48,1,0.94,TRUE
310,106,4,1.5,2.5,8.36,0,0.57,TRUE
308,108,3,3.5,3.5,8.22,0,0.61,TRUE
301,106,4,2.5,3,8.47,0,0.57,TRUE
300,100,3,2,3,8.66,1,0.64,TRUE
323,113,3,4,3,9.32,1,0.85,TRUE
319,112,3,2.5,2,8.71,1,0.78,TRUE
326,112,3,3.5,3,9.1,1,0.84,TRUE
333,118,5,5,5,9.35,1,0.92,TRUE
339,114,5,4,4.5,9.76,1,0.96,TRUE
303,105,5,5,4.5,8.65,0,0.77,TRUE
309,105,5,3.5,3.5,8.56,0,0.71,TRUE
323,112,5,4,4.5,8.78,0,0.79,TRUE
333,113,5,4,4,9.28,1,0.89,TRUE
314,109,4,3.5,4,8.77,1,0.82,TRUE
312,103,3,5,4,8.45,0,0.76,TRUE
316,100,2,1.5,3,8.16,1,0.71,TRUE
326,116,2,4.5,3,9.08,1,0.8,TRUE
318,109,1,3.5,3.5,9.12,0,0.78,TRUE
329,110,2,4,3,9.15,1,0.84,TRUE
332,118,2,4.5,3.5,9.36,1,0.9,TRUE
331,115,5,4,3.5,9.44,1,0.92,TRUE
340,120,4,4.5,4,9.92,1,0.97,TRUE
325,112,2,3,3.5,8.96,1,0.8,TRUE
320,113,2,2,2.5,8.64,1,0.81,TRUE
315,105,3,2,2.5,8.48,0,0.75,TRUE
326,114,3,3,3,9.11,1,0.83,TRUE
339,116,4,4,3.5,9.8,1,0.96,TRUE
311,106,2,3.5,3,8.26,1,0.79,TRUE
334,114,4,4,4,9.43,1,0.93,TRUE
332,116,5,5,5,9.28,1,0.94,TRUE
321,112,5,5,5,9.06,1,0.86,TRUE
324,105,3,3,4,8.75,0,0.79,TRUE
326,108,3,3,3.5,8.89,0,0.8,TRUE
312,109,3,3,3,8.69,0,0.77,TRUE
315,105,3,2,2.5,8.34,0,0.7,TRUE
309,104,2,2,2.5,8.26,0,0.65,TRUE
306,106,2,2,2.5,8.14,0,0.61,TRUE
297,100,1,1.5,2,7.9,0,0.52,TRUE
315,103,1,1.5,2,7.86,0,0.57,TRUE
298,99,1,1.5,3,7.46,0,0.53,TRUE
318,109,3,3,3,8.5,0,0.67,TRUE
317,105,3,3.5,3,8.56,0,0.68,TRUE
329,111,4,4.5,4,9.01,1,0.81,TRUE
322,110,5,4.5,4,8.97,0,0.78,TRUE
302,102,3,3.5,5,8.33,0,0.65,TRUE
313,102,3,2,3,8.27,0,0.64,TRUE
293,97,2,2,4,7.8,1,0.64,TRUE
311,99,2,2.5,3,7.98,0,0.65,TRUE
312,101,2,2.5,3.5,8.04,1,0.68,TRUE
334,117,5,4,4.5,9.07,1,0.89,TRUE
322,110,4,4,5,9.13,1,0.86,TRUE
323,113,4,4,4.5,9.23,1,0.89,TRUE
321,111,4,4,4,8.97,1,0.87,TRUE
320,111,4,4.5,3.5,8.87,1,0.85,TRUE
329,119,4,4.5,4.5,9.16,1,0.9,TRUE
319,110,3,3.5,3.5,9.04,0,0.82,TRUE
309,108,3,2.5,3,8.12,0,0.72,TRUE
307,102,3,3,3,8.27,0,0.73,TRUE
300,104,3,3.5,3,8.16,0,0.71,TRUE
305,107,2,2.5,2.5,8.42,0,0.71,TRUE
299,100,2,3,3.5,7.88,0,0.68,TRUE
314,110,3,4,4,8.8,0,0.75,TRUE
316,106,2,2.5,4,8.32,0,0.72,TRUE
327,113,4,4.5,4.5,9.11,1,0.89,TRUE
317,107,3,3.5,3,8.68,1,0.84,TRUE
335,118,5,4.5,3.5,9.44,1,0.93,TRUE
331,115,5,4.5,3.5,9.36,1,0.93,TRUE
324,112,5,5,5,9.08,1,0.88,TRUE
324,111,5,4.5,4,9.16,1,0.9,TRUE
323,110,5,4,5,8.98,1,0.87,TRUE
322,114,5,4.5,4,8.94,1,0.86,TRUE
336,118,5,4.5,5,9.53,1,0.94,TRUE
316,109,3,3.5,3,8.76,0,0.77,TRUE
307,107,2,3,3.5,8.52,1,0.78,TRUE
306,105,2,3,2.5,8.26,0,0.73,TRUE
310,106,2,3.5,2.5,8.33,0,0.73,TRUE
311,104,3,4.5,4.5,8.43,0,0.7,TRUE
313,107,3,4,4.5,8.69,0,0.72,TRUE
317,103,3,2.5,3,8.54,1,0.73,TRUE
315,110,2,3.5,3,8.46,1,0.72,TRUE
340,120,5,4.5,4.5,9.91,1,0.97,TRUE
334,120,5,4,5,9.87,1,0.97,TRUE
298,105,3,3.5,4,8.54,0,0.69,TRUE
295,99,2,2.5,3,7.65,0,0.57,TRUE
315,99,2,3.5,3,7.89,0,0.63,TRUE
310,102,3,3.5,4,8.02,1,0.66,TRUE
305,106,2,3,3,8.16,0,0.64,TRUE
301,104,3,3.5,4,8.12,1,0.68,TRUE
325,108,4,4.5,4,9.06,1,0.79,TRUE
328,110,4,5,4,9.14,1,0.82,TRUE
338,120,4,5,5,9.66,1,0.95,TRUE
333,119,5,5,4.5,9.78,1,0.96,TRUE
331,117,4,4.5,5,9.42,1,0.94,TRUE
330,116,5,5,4.5,9.36,1,0.93,TRUE
322,112,4,4.5,4.5,9.26,1,0.91,TRUE
321,109,4,4,4,9.13,1,0.85,TRUE
324,110,4,3,3.5,8.97,1,0.84,TRUE
312,104,3,3.5,3.5,8.42,0,0.74,TRUE
313,103,3,4,4,8.75,0,0.76,TRUE
316,110,3,3.5,4,8.56,0,0.75,TRUE
324,113,4,4.5,4,8.79,0,0.76,TRUE
308,109,2,3,4,8.45,0,0.71,TRUE
305,105,2,3,2,8.23,0,0.67,TRUE
296,99,2,2.5,2.5,8.03,0,0.61,TRUE
306,110,2,3.5,4,8.45,0,0.63,TRUE
312,110,2,3.5,3,8.53,0,0.64,TRUE
318,112,3,4,3.5,8.67,0,0.71,TRUE
324,111,4,3,3,9.01,1,0.82,TRUE
313,104,3,4,4.5,8.65,0,0.73,TRUE
319,106,3,3.5,2.5,8.33,1,0.74,TRUE
312,107,2,2.5,3.5,8.27,0,0.69,TRUE
304,100,2,2.5,3.5,8.07,0,0.64,TRUE
330,113,5,5,4,9.31,1,0.91,TRUE
326,111,5,4.5,4,9.23,1,0.88,TRUE
325,112,4,4,4.5,9.17,1,0.85,TRUE
329,114,5,4.5,5,9.19,1,0.86,TRUE
310,104,3,2,3.5,8.37,0,0.7,TRUE
299,100,1,1.5,2,7.89,0,0.59,TRUE
296,101,1,2.5,3,7.68,0,0.6,TRUE
317,103,2,2.5,2,8.15,0,0.65,TRUE
324,115,3,3.5,3,8.76,1,0.7,TRUE
325,114,3,3.5,3,9.04,1,0.76,TRUE
314,107,2,2.5,4,8.56,0,0.63,TRUE
328,110,4,4,2.5,9.02,1,0.81,TRUE
316,105,3,3,3.5,8.73,0,0.72,TRUE
311,104,2,2.5,3.5,8.48,0,0.71,TRUE
324,110,3,3.5,4,8.87,1,0.8,TRUE
321,111,3,3.5,4,8.83,1,0.77,TRUE
320,104,3,3,2.5,8.57,1,0.74,TRUE
316,99,2,2.5,3,9,0,0.7,TRUE
318,100,2,2.5,3.5,8.54,1,0.71,TRUE
335,115,4,4.5,4.5,9.68,1,0.93,TRUE
321,114,4,4,5,9.12,0,0.85,TRUE
307,110,4,4,4.5,8.37,0,0.79,TRUE
309,99,3,4,4,8.56,0,0.76,TRUE
324,100,3,4,5,8.64,1,0.78,TRUE
326,102,4,5,5,8.76,1,0.77,TRUE
331,119,4,5,4.5,9.34,1,0.9,TRUE
327,108,5,5,3.5,9.13,1,0.87,TRUE
312,104,3,3.5,4,8.09,0,0.71,TRUE
308,103,2,2.5,4,8.36,1,0.7,TRUE
324,111,3,2.5,1.5,8.79,1,0.7,TRUE
325,110,2,3,2.5,8.76,1,0.75,TRUE
313,102,3,2.5,2.5,8.68,0,0.71,TRUE
312,105,2,2,2.5,8.45,0,0.72,TRUE
314,107,3,3,3.5,8.17,1,0.73,TRUE
327,113,4,4.5,5,9.14,0,0.83,TRUE
308,108,4,4.5,5,8.34,0,0.77,TRUE
306,105,2,2.5,3,8.22,1,0.72,TRUE
299,96,2,1.5,2,7.86,0,0.54,TRUE
294,95,1,1.5,1.5,7.64,0,0.49,FALSE
312,99,1,1,1.5,8.01,1,0.52,TRUE
315,100,1,2,2.5,7.95,0,0.58,TRUE
322,110,3,3.5,3,8.96,1,0.78,TRUE
329,113,5,5,4.5,9.45,1,0.89,TRUE
320,101,2,2.5,3,8.62,0,0.7,TRUE
308,103,2,3,3.5,8.49,0,0.66,TRUE
304,102,2,3,4,8.73,0,0.67,TRUE
311,102,3,4.5,4,8.64,1,0.68,TRUE
317,110,3,4,4.5,9.11,1,0.8,TRUE
312,106,3,4,3.5,8.79,1,0.81,TRUE
321,111,3,2.5,3,8.9,1,0.8,TRUE
340,112,4,5,4.5,9.66,1,0.94,TRUE
331,116,5,4,4,9.26,1,0.93,TRUE
336,118,5,4.5,4,9.19,1,0.92,TRUE
324,114,5,5,4.5,9.08,1,0.89,TRUE
314,104,4,5,5,9.02,0,0.82,TRUE
313,109,3,4,3.5,9,0,0.79,TRUE
307,105,2,2.5,3,7.65,0,0.58,TRUE
300,102,2,1.5,2,7.87,0,0.56,TRUE
302,99,2,1,2,7.97,0,0.56,TRUE
312,98,1,3.5,3,8.18,1,0.64,TRUE
316,101,2,2.5,2,8.32,1,0.61,TRUE
317,100,2,3,2.5,8.57,0,0.68,TRUE
310,107,3,3.5,3.5,8.67,0,0.76,TRUE
320,120,3,4,4.5,9.11,0,0.86,TRUE
330,114,3,4.5,4.5,9.24,1,0.9,TRUE
305,112,3,3,3.5,8.65,0,0.71,TRUE
309,106,2,2.5,2.5,8,0,0.62,TRUE
319,108,2,2.5,3,8.76,0,0.66,TRUE
322,105,2,3,3,8.45,1,0.65,TRUE
323,107,3,3.5,3.5,8.55,1,0.73,TRUE
313,106,2,2.5,2,8.43,0,0.62,TRUE
321,109,3,3.5,3.5,8.8,1,0.74,TRUE
323,110,3,4,3.5,9.1,1,0.79,TRUE
325,112,4,4,4,9,1,0.8,TRUE
312,108,3,3.5,3,8.53,0,0.69,TRUE
308,110,4,3.5,3,8.6,0,0.7,TRUE
320,104,3,3,3.5,8.74,1,0.76,TRUE
328,108,4,4.5,4,9.18,1,0.84,TRUE
311,107,4,4.5,4.5,9,1,0.78,TRUE
301,100,3,3.5,3,8.04,0,0.67,TRUE
305,105,2,3,4,8.13,0,0.66,TRUE
308,104,2,2.5,3,8.07,0,0.65,TRUE
298,101,2,1.5,2,7.86,0,0.54,TRUE
300,99,1,1,2.5,8.01,0,0.58,TRUE
324,111,3,2.5,2,8.8,1,0.79,TRUE
327,113,4,3.5,3,8.69,1,0.8,TRUE
317,106,3,4,3.5,8.5,1,0.75,TRUE
323,104,3,4,4,8.44,1,0.73,TRUE
314,107,2,2.5,4,8.27,0,0.72,TRUE
305,102,2,2,2.5,8.18,0,0.62,TRUE
315,104,3,3,2.5,8.33,0,0.67,TRUE
326,116,3,3.5,4,9.14,1,0.81,TRUE
299,100,3,2,2,8.02,0,0.63,TRUE
295,101,2,2.5,2,7.86,0,0.69,TRUE
324,112,4,4,3.5,8.77,1,0.8,TRUE
297,96,2,2.5,1.5,7.89,0,0.43,FALSE
327,113,3,3.5,3,8.66,1,0.8,TRUE
311,105,2,3,2,8.12,1,0.73,TRUE
308,106,3,3.5,2.5,8.21,1,0.75,TRUE
319,108,3,3,3.5,8.54,1,0.71,TRUE
312,107,4,4.5,4,8.65,1,0.73,TRUE
325,111,4,4,4.5,9.11,1,0.83,TRUE
319,110,3,3,2.5,8.79,0,0.72,TRUE
332,118,5,5,5,9.47,1,0.94,TRUE
323,108,5,4,4,8.74,1,0.81,TRUE
324,107,5,3.5,4,8.66,1,0.81,TRUE
312,107,3,3,3,8.46,1,0.75,TRUE
326,110,3,3.5,3.5,8.76,1,0.79,TRUE
308,106,3,3,3,8.24,0,0.58,TRUE
305,103,2,2.5,3.5,8.13,0,0.59,TRUE
295,96,2,1.5,2,7.34,0,0.47,FALSE
316,98,1,1.5,2,7.43,0,0.49,FALSE
304,97,2,1.5,2,7.64,0,0.47,FALSE
299,94,1,1,1,7.34,0,0.42,FALSE
302,99,1,2,2,7.25,0,0.57,TRUE
313,101,3,2.5,3,8.04,0,0.62,TRUE
318,107,3,3,3.5,8.27,1,0.74,TRUE
325,110,4,3.5,4,8.67,1,0.73,TRUE
303,100,2,3,3.5,8.06,1,0.64,TRUE
300,102,3,3.5,2.5,8.17,0,0.63,TRUE
297,98,2,2.5,3,7.67,0,0.59,TRUE
317,106,2,2,3.5,8.12,0,0.73,TRUE
327,109,3,3.5,4,8.77,1,0.79,TRUE
301,104,2,3.5,3.5,7.89,1,0.68,TRUE
314,105,2,2.5,2,7.64,0,0.7,TRUE
321,107,2,2,1.5,8.44,0,0.81,TRUE
322,110,3,4,5,8.64,1,0.85,TRUE
334,116,4,4,3.5,9.54,1,0.93,TRUE
338,115,5,4.5,5,9.23,1,0.91,TRUE
306,103,2,2.5,3,8.36,0,0.69,TRUE
313,102,3,3.5,4,8.9,1,0.77,TRUE
330,114,4,4.5,3,9.17,1,0.86,TRUE
320,104,3,3.5,4.5,8.34,1,0.74,TRUE
311,98,1,1,2.5,7.46,0,0.57,TRUE
298,92,1,2,2,7.88,0,0.51,TRUE
301,98,1,2,3,8.03,1,0.67,TRUE
310,103,2,2.5,2.5,8.24,0,0.72,TRUE
324,110,3,3.5,3,9.22,1,0.89,TRUE
336,119,4,4.5,4,9.62,1,0.95,TRUE
321,109,3,3,3,8.54,1,0.79,TRUE
315,105,2,2,2.5,7.65,0,0.39,FALSE
304,101,2,2,2.5,7.66,0,0.38,FALSE
297,96,2,2.5,2,7.43,0,0.34,FALSE
290,100,1,1.5,2,7.56,0,0.47,FALSE
303,98,1,2,2.5,7.65,0,0.56,TRUE
311,99,1,2.5,3,8.43,1,0.71,TRUE
322,104,3,3.5,4,8.84,1,0.78,TRUE
319,105,3,3,3.5,8.67,1,0.73,TRUE
324,110,4,4.5,4,9.15,1,0.82,TRUE
300,100,3,3,3.5,8.26,0,0.62,TRUE
340,113,4,5,5,9.74,1,0.96,TRUE
335,117,5,5,5,9.82,1,0.96,TRUE
302,101,2,2.5,3.5,7.96,0,0.46,FALSE
307,105,2,2,3.5,8.1,0,0.53,TRUE
296,97,2,1.5,2,7.8,0,0.49,FALSE
320,108,3,3.5,4,8.44,1,0.76,TRUE
314,102,2,2,2.5,8.24,0,0.64,TRUE
318,106,3,2,3,8.65,0,0.71,TRUE
326,112,4,4,3.5,9.12,1,0.84,TRUE
317,104,2,3,3,8.76,0,0.77,TRUE
329,111,4,4.5,4,9.23,1,0.89,TRUE
324,110,3,3.5,3.5,9.04,1,0.82,TRUE
325,107,3,3,3.5,9.11,1,0.84,TRUE
330,116,4,5,4.5,9.45,1,0.91,TRUE
312,103,3,3.5,4,8.78,0,0.67,TRUE
333,117,4,5,4,9.66,1,0.95,TRUE
304,100,2,3.5,3,8.22,0,0.63,TRUE
315,105,2,3,3,8.34,0,0.66,TRUE
324,109,3,3.5,3,8.94,1,0.78,TRUE
330,116,4,4,3.5,9.23,1,0.91,TRUE
311,101,3,2,2.5,7.64,1,0.62,TRUE
302,99,3,2.5,3,7.45,0,0.52,TRUE
322,103,4,3,2.5,8.02,1,0.61,TRUE
298,100,3,2.5,4,7.95,1,0.58,TRUE
297,101,3,2,4,7.67,1,0.57,TRUE
300,98,1,2,2.5,8.02,0,0.61,TRUE
301,96,1,3,4,7.56,0,0.54,TRUE
313,94,2,2.5,1.5,8.13,0,0.56,TRUE
314,102,4,2.5,2,7.88,1,0.59,TRUE
317,101,3,3,2,7.94,1,0.49,FALSE
321,110,4,3.5,4,8.35,1,0.72,TRUE
327,106,4,4,4.5,8.75,1,0.76,TRUE
315,104,3,4,2.5,8.1,0,0.65,TRUE
316,103,3,3.5,2,7.68,0,0.52,TRUE
309,111,2,2.5,4,8.03,0,0.6,TRUE
308,102,2,2,3.5,7.98,1,0.58,TRUE
299,100,3,2,3,7.42,0,0.42,FALSE
321,112,3,3,4.5,8.95,1,0.77,TRUE
322,112,4,3.5,2.5,9.02,1,0.73,TRUE
334,119,5,4.5,5,9.54,1,0.94,TRUE
325,114,5,4,5,9.46,1,0.91,TRUE
323,111,5,4,5,9.86,1,0.92,TRUE
312,106,3,3,5,8.57,0,0.71,TRUE
310,101,3,3.5,5,8.65,1,0.71,TRUE
316,103,2,2,4.5,8.74,0,0.69,TRUE
340,115,5,5,4.5,9.06,1,0.95,TRUE
311,104,3,4,3.5,8.13,1,0.74,TRUE
320,112,2,3.5,3.5,8.78,1,0.73,TRUE
324,112,4,4.5,4,9.22,1,0.86,TRUE
316,111,4,4,5,8.54,0,0.71,TRUE
306,103,3,3.5,3,8.21,0,0.64,TRUE
309,105,2,2.5,4,7.68,0,0.55,TRUE
310,110,1,1.5,4,7.23,1,0.58,TRUE
317,106,1,1.5,3.5,7.65,1,0.61,TRUE
318,110,1,2.5,3.5,8.54,1,0.67,TRUE
312,105,2,1.5,3,8.46,0,0.66,TRUE
305,104,2,2.5,1.5,7.79,0,0.53,TRUE
332,112,1,1.5,3,8.66,1,0.79,TRUE
331,116,4,4.5,4.5,9.44,1,0.92,TRUE
321,114,5,4.5,4.5,9.16,1,0.87,TRUE
324,113,5,4,5,9.25,1,0.92,TRUE
328,116,5,4.5,5,9.08,1,0.91,TRUE
327,118,4,5,5,9.67,1,0.93,TRUE
320,108,3,3.5,5,8.97,1,0.84,TRUE
312,109,2,2.5,4,9.02,0,0.8,TRUE
315,101,3,3.5,4.5,9.13,0,0.79,TRUE
320,112,4,3,4.5,8.86,1,0.82,TRUE
324,113,4,4.5,4.5,9.25,1,0.89,TRUE
328,116,4,5,3.5,9.6,1,0.93,TRUE
319,103,3,2.5,4,8.76,1,0.73,TRUE
310,105,2,3,3.5,8.01,0,0.71,TRUE
305,102,2,1.5,2.5,7.64,0,0.59,TRUE
299,100,2,2,2,7.88,0,0.51,TRUE
295,99,1,2,1.5,7.57,0,0.37,FALSE
312,100,1,3,3,8.53,1,0.69,TRUE
329,113,4,4,3.5,9.36,1,0.89,TRUE
319,105,4,4,4.5,8.66,1,0.77,TRUE
301,102,3,2.5,2,8.13,1,0.68,TRUE
307,105,4,3,3,7.94,0,0.62,TRUE
304,107,3,3.5,3,7.86,0,0.57,TRUE
298,97,2,2,3,7.21,0,0.45,FALSE
305,96,4,3,4.5,8.26,0,0.54,TRUE
314,99,4,3.5,4.5,8.73,1,0.71,TRUE
318,101,5,3.5,5,8.78,1,0.78,TRUE
323,110,4,4,5,8.88,1,0.81,TRUE
326,114,4,4,3.5,9.16,1,0.86,TRUE
320,110,5,4,4,9.27,1,0.87,TRUE
311,103,3,2,4,8.09,0,0.64,TRUE
327,116,4,4,4.5,9.48,1,0.9,TRUE
316,102,2,4,3.5,8.15,0,0.67,TRUE
308,105,4,3,2.5,7.95,1,0.67,TRUE
300,101,3,3.5,2.5,7.88,0,0.59,TRUE
304,104,3,2.5,2,8.12,0,0.62,TRUE
309,105,4,3.5,2,8.18,0,0.65,TRUE
318,103,3,4,4.5,8.49,1,0.71,TRUE
325,110,4,4.5,4,8.96,1,0.79,TRUE
321,102,3,3.5,4,9.01,1,0.8,TRUE
323,107,4,3,2.5,8.48,1,0.78,TRUE
328,113,4,4,2.5,8.77,1,0.83,TRUE
304,103,5,5,3,7.92,0,0.71,TRUE
317,106,3,3.5,3,7.89,1,0.73,TRUE
311,101,2,2.5,3.5,8.34,1,0.7,TRUE
319,102,3,2.5,2.5,8.37,0,0.68,TRUE
327,115,4,3.5,4,9.14,0,0.79,TRUE
322,112,3,3,4,8.62,1,0.76,TRUE
302,110,3,4,4.5,8.5,0,0.65,TRUE
307,105,2,2.5,4.5,8.12,1,0.67,TRUE
297,99,4,3,3.5,7.81,0,0.54,TRUE
298,101,4,2.5,4.5,7.69,1,0.53,TRUE
300,95,2,3,1.5,8.22,1,0.62,TRUE
301,99,3,2.5,2,8.45,1,0.68,TRUE
332,108,5,4.5,4,9.02,1,0.87,TRUE
337,117,5,5,5,9.87,1,0.96,TRUE
330,120,5,4.5,5,9.56,1,0.93,TRUE
312,103,4,4,5,8.43,0,0.73,TRUE
327,113,4,4.5,4.5,9.04,0,0.84,TRUE
